matchId,blue_wins,blue_kills,blue_assists,blue_deaths,blue_wards_placed,blue_wards_kills,blue_dragon_kills,blue_herald_kills,blue_tower_kills,blue_inhibitor_kills,blue_total_gold,blue_average_lvl,blue_total_exp,blue_total_cs,red_kills,red_assists,red_deaths,red_wards_placed,red_wards_kills,red_dragon_kills,red_herald_kills,red_tower_kills,red_inhibitor_kills,red_total_gold,red_average_lvl,red_total_exp,red_total_cs
NA1_4134639110,False,11,16,15,17,5,1,0,0,0,20798,7.2,20250,310,15,12,11,17,7,0,0,0,0,21912,7.6,21428,302
NA1_4135794736,False,3,4,16,18,4,0,1,0,0,16918,7.2,18640,294,16,23,3,17,4,1,0,0,0,22520,8.0,22244,341
NA1_4136156707,False,6,5,11,20,3,0,0,0,0,18467,7.2,19708,322,11,12,6,20,2,1,0,0,0,20789,7.6,21383,304
NA1_4136537752,True,16,16,14,13,3,0,0,0,0,22042,7.8,21737,305,14,12,16,17,2,0,1,0,0,21596,7.8,21039,282
NA1_4137045009,True,12,14,8,16,2,1,0,0,0,21989,7.8,22832,366,8,8,12,13,0,0,0,0,0,18154,7.2,19753,290
NA1_4137174593,False,7,6,13,14,2,0,1,0,0,18963,7.6,20206,316,13,16,7,22,5,1,0,0,0,20993,7.6,20815,277
NA1_4137249276,True,10,14,7,16,1,0,1,0,0,19980,7.2,19580,268,7,9,10,16,6,1,0,0,0,18598,7.4,19211,276
NA1_4139630646,False,4,6,6,16,5,0,0,1,0,18172,7.4,19413,286,6,7,4,16,4,1,1,1,0,20361,7.6,21625,348
NA1_4139720927,False,10,9,9,15,3,0,1,0,0,19850,7.6,20363,331,8,4,9,10,2,0,0,0,0,17299,7.2,18963,262
NA1_4139968530,False,9,11,10,17,6,1,0,0,0,19127,7.6,19702,282,10,14,9,21,2,0,0,0,0,20778,7.8,20765,310
NA1_4140901744,True,8,5,3,18,3,0,1,0,0,18969,7.6,21958,336,3,2,8,22,4,0,0,0,0,16335,7.0,18750,278
NA1_4141004689,True,11,11,9,21,6,0,1,0,0,21448,7.8,22167,302,9,7,11,23,5,1,0,0,0,20836,8.0,22788,356
NA1_4141091022,False,10,12,13,16,6,0,0,0,0,19726,7.4,20412,286,13,12,10,17,3,1,1,0,0,20549,7.8,21661,283
NA1_4141132359,False,2,1,9,21,2,0,0,0,0,16850,7.2,19587,323,9,13,2,16,9,1,0,0,0,20317,7.8,21918,376
NA1_4141173165,True,6,4,7,23,1,0,0,0,0,17704,7.2,19540,275,7,9,6,18,6,1,1,0,0,19109,7.2,19531,310
NA1_4141233871,True,12,9,8,14,4,0,1,0,0,20426,7.8,22187,338,8,3,12,18,2,0,0,0,0,17838,7.6,20829,265
NA1_4141311349,False,4,8,8,19,3,0,0,0,0,16764,7.2,19084,283,8,13,4,16,3,1,0,0,0,20122,7.4,20574,341
NA1_4141965028,True,4,1,14,15,1,0,0,0,0,17372,7.2,19989,289,14,11,4,14,2,1,0,0,0,20081,7.6,21594,279
NA1_4142043133,True,19,21,8,16,4,0,1,1,0,24709,7.8,22054,309,8,10,19,13,2,1,0,0,0,18584,7.2,18918,226
NA1_4142104178,False,5,2,16,22,3,0,0,0,0,16740,7.0,18113,287,16,19,5,20,4,0,0,0,0,22725,8.0,22817,297
NA1_4153445187,True,6,11,3,22,4,1,0,0,0,20037,8.2,22925,380,3,3,6,19,3,0,1,0,0,16622,7.6,20312,303
NA1_4155855320,True,10,11,5,13,6,0,0,0,0,19471,7.6,21005,309,5,7,10,17,3,1,1,0,0,18594,7.4,20316,345
NA1_4155899024,False,8,11,17,14,2,0,1,1,0,21027,7.2,19170,298,17,22,8,16,6,1,0,0,0,23103,7.2,20323,292
NA1_4155903459,True,10,11,6,29,5,0,0,0,0,18966,7.6,20672,299,6,4,10,14,5,2,0,0,0,19003,7.6,21699,364
NA1_4155976552,True,12,9,7,19,5,0,1,0,0,20200,7.8,22246,339,6,6,11,18,5,0,0,0,0,19151,7.6,21406,331
NA1_4156045422,False,9,13,10,16,3,0,0,0,0,20261,7.6,21253,316,10,10,9,15,2,1,1,0,0,19754,7.8,21382,300
NA1_4159010585,True,8,10,3,16,1,0,0,0,0,18759,7.4,20242,279,3,1,8,12,3,0,0,0,0,16484,7.4,20115,323
NA1_4159025061,False,4,2,6,15,4,0,1,0,0,16433,7.4,19602,289,6,4,4,16,4,1,0,0,0,17522,7.4,19737,311
NA1_4159048112,False,2,1,9,18,0,0,0,0,0,16220,7.0,19175,311,9,13,2,14,6,2,1,0,0,20312,7.6,21168,296
NA1_4160494973,True,12,7,2,13,3,0,0,0,0,21826,7.6,21948,361,2,3,12,9,2,0,0,0,0,14791,6.8,18283,253
NA1_4161439244,False,4,5,6,11,1,0,0,0,0,15418,7.2,18449,241,6,8,4,17,3,1,0,0,0,18941,7.8,21607,323
NA1_4161488806,True,12,8,7,13,5,1,0,0,0,19944,7.8,22102,282,7,4,12,13,4,0,0,0,0,17866,7.2,19972,273
NA1_4164041886,True,2,4,7,18,2,1,0,1,0,16671,7.2,18308,261,7,6,2,13,2,0,1,0,0,17291,6.6,19162,274
NA1_4167656329,True,6,9,3,20,5,0,0,0,0,18347,7.2,19820,295,3,6,6,23,3,1,0,0,0,17299,7.2,18667,300
NA1_4167658305,False,8,6,10,16,4,0,0,0,0,18529,7.2,19402,272,10,13,8,20,6,1,0,0,0,19152,7.2,19278,273
NA1_4167668275,True,5,4,3,14,5,1,0,0,0,17538,7.6,20473,314,3,2,5,14,2,0,1,0,0,17365,7.8,21170,341
NA1_4167692667,False,6,8,6,17,3,1,0,0,0,18024,7.2,20272,327,6,6,6,18,2,0,1,0,0,20633,8.2,23015,382
NA1_4167699772,True,13,18,6,18,4,1,0,0,0,21969,7.6,21994,336,6,2,13,15,3,0,0,0,0,17706,7.4,19501,274
NA1_4167713900,True,10,11,6,19,3,1,0,0,0,20438,7.4,20169,319,6,8,10,12,3,0,1,0,0,18068,7.0,19472,299
NA1_4167727244,False,4,5,10,16,7,0,0,0,0,16817,7.2,19357,292,10,13,4,18,5,0,0,0,0,20559,7.8,22233,330
NA1_4167730975,True,13,11,6,12,6,0,1,0,0,22055,7.6,20448,299,6,8,13,19,1,1,0,0,0,18308,7.4,20039,306
NA1_4167748683,False,6,5,10,16,6,1,0,0,0,17842,7.4,20368,316,10,8,6,20,4,0,0,0,0,19498,7.6,20673,299
NA1_4167764661,True,7,8,8,19,7,1,0,0,0,18667,7.4,20442,327,8,11,7,17,6,0,0,0,0,19214,7.8,21423,316
